MARY,2.629,female_first,MARY,MARY,MARY
PATRICIA,1.073,female_first,PATRICIA,PATRICIA,PATRICIA
LINDA,1.035,female_first,LINDA,LINDA,LINDA
BARBARA,0.98,female_first,BARBARA,BARBARA,BARBARA
ELIZABETH,0.937,female_first,ELIZABETH,ELIZABETH,ELIZABETH
JENNIFER,0.932,female_first,JENNIFER,JENNIFER,JENNIFER
MARIA,0.828,female_first,MARIA,MARIA,MARIA
SUSAN,0.794,female_first,SUSAN,SUSAN,SUSAN
MARGARET,0.768,female_first,MARGARET,MARGARET,MARGARET
DOROTHY,0.727,female_first,DOROTHY,DOROTHY,DOROTHY
LISA,0.704,female_first,LISA,LISA,LISA
NANCY,0.669,female_first,NANCY,NANCY,NANCY
KAREN,0.667,female_first,KAREN,KAREN,KAREN
BETTY,0.666,female_first,BETTY,BETTY,BETTY
HELEN,0.663,female_first,HELEN,HELEN,HELEN
SANDRA,0.629,female_first,SANDRA,SANDRA,SANDRA
DONNA,0.583,female_first,DONNA,DONNA,DONNA
CAROL,0.565,female_first,CAROL,CAROL,CAROL
RUTH,0.562,female_first,RUTH,RUTH,RUTH
SHARON,0.522,female_first,SHARON,SHARON,SHARON
MICHELLE,0.519,female_first,MICHELLE,MICHELLE,MICHELLE
LAURA,0.51,female_first,LAURA,LAURA,LAURA
SARAH,0.508,female_first,SARAH,SARAH,SARAH
KIMBERLY,0.504,female_first,KIMBERLY,KIMBERLY,KIMBERLY
DEBORAH,0.494,female_first,DEBORAH,DEBORAH,DEBORAH
JESSICA,0.49,female_first,JESSICA,JESSICA,JESSICA
SHIRLEY,0.482,female_first,SHIRLEY,SHIRLEY,SHIRLEY
CYNTHIA,0.469,female_first,CYNTHIA,CYNTHIA,CYNTHIA
ANGELA,0.468,female_first,ANGELA,ANGELA,ANGELA
MELISSA,0.462,female_first,MELISSA,MELISSA,MELISSA
BRENDA,0.455,female_first,BRENDA,BRENDA,BRENDA
AMY,0.451,female_first,AMY,AMY,AMY
ANNA,0.44,female_first,ANNA,ANNA,ANNA
REBECCA,0.43,female_first,REBECCA,REBECCA,REBECCA
VIRGINIA,0.43,female_first,VIRGINIA,VIRGINIA,VIRGINIA
KATHLEEN,0.424,female_first,KATHLEEN,KATHLEEN,KATHLEEN
PAMELA,0.416,female_first,PAMELA,PAMELA,PAMELA
MARTHA,0.412,female_first,MARTHA,MARTHA,MARTHA
DEBRA,0.408,female_first,DEBRA,DEBRA,DEBRA
AMANDA,0.404,female_first,AMANDA,AMANDA,AMANDA
STEPHANIE,0.4,female_first,STEPHANIE,STEPHANIE,STEPHANIE
CAROLYN,0.385,female_first,CAROLYN,CAROLYN,CAROLYN
CHRISTINE,0.382,female_first,CHRISTINE,CHRISTINE,CHRISTINE
MARIE,0.379,female_first,MARIE,MARIE,MARIE
JANET,0.379,female_first,JANET,JANET,JANET
CATHERINE,0.373,female_first,CATHERINE,CATHERINE,CATHERINE
FRANCES,0.37,female_first,FRANCES,FRANCES,FRANCES
ANN,0.364,female_first,ANN,ANN,ANN
JOYCE,0.364,female_first,JOYCE,JOYCE,JOYCE
DIANE,0.359,female_first,DIANE,DIANE,DIANE
ALICE,0.357,female_first,ALICE,ALICE,ALICE
JULIE,0.348,female_first,JULIE,JULIE,JULIE
HEATHER,0.337,female_first,HEATHER,HEATHER,HEATHER
TERESA,0.336,female_first,TERESA,TERESA,TERESA
DORIS,0.335,female_first,DORIS,DORIS,DORIS
GLORIA,0.335,female_first,GLORIA,GLORIA,GLORIA
EVELYN,0.322,female_first,EVELYN,EVELYN,EVELYN
JEAN,0.315,female_first,JEAN,JEAN,JEAN
CHERYL,0.315,female_first,CHERYL,CHERYL,CHERYL
MILDRED,0.313,female_first,MILDRED,MILDRED,MILDRED
KATHERINE,0.313,female_first,KATHERINE,KATHERINE,KATHERINE
JOAN,0.306,female_first,JOAN,JOAN,JOAN
ASHLEY,0.303,female_first,ASHLEY,ASHLEY,ASHLEY
JUDITH,0.297,female_first,JUDITH,JUDITH,JUDITH
ROSE,0.296,female_first,ROSE,ROSE,ROSE
JANICE,0.285,female_first,JANICE,JANICE,JANICE
KELLY,0.283,female_first,KELLY,KELLY,KELLY
NICOLE,0.281,female_first,NICOLE,NICOLE,NICOLE
JUDY,0.276,female_first,JUDY,JUDY,JUDY
CHRISTINA,0.275,female_first,CHRISTINA,CHRISTINA,CHRISTINA
KATHY,0.272,female_first,KATHY,KATHY,KATHY
THERESA,0.271,female_first,THERESA,THERESA,THERESA
BEVERLY,0.267,female_first,BEVERLY,BEVERLY,BEVERLY
DENISE,0.264,female_first,DENISE,DENISE,DENISE
