JAMES,3.318,male_first,JAMES,JAMES,JAMES
JOHN,3.271,male_first,JOHN,JOHN,JOHN
ROBERT,3.143,male_first,ROBERT,ROBERT,ROBERT
MICHAEL,2.629,male_first,MICHAEL,MICHAEL,MICHAEL
WILLIAM,2.451,male_first,WILLIAM,WILLIAM,WILLIAM
DAVID,2.363,male_first,DAVID,DAVID,DAVID
RICHARD,1.703,male_first,RICHARD,RICHARD,RICHARD
CHARLES,1.523,male_first,CHARLES,CHARLES,CHARLES
JOSEPH,1.404,male_first,JOSEPH,JOSEPH,JOSEPH
THOMAS,1.38,male_first,THOMAS,THOMAS,THOMAS
CHRISTOPHER,1.035,male_first,CHRISTOPHER,CHRISTOPHER,CHRISTOPHER
DANIEL,0.974,male_first,DANIEL,DANIEL,DANIEL
PAUL,0.948,male_first,PAUL,PAUL,PAUL
MARK,0.938,male_first,MARK,MARK,MARK
DONALD,0.931,male_first,DONALD,DONALD,DONALD
GEORGE,0.927,male_first,GEORGE,GEORGE,GEORGE
KENNETH,0.826,male_first,KENNETH,KENNETH,KENNETH
STEVEN,0.78,male_first,STEVEN,STEVEN,STEVEN
EDWARD,0.779,male_first,EDWARD,EDWARD,EDWARD
BRIAN,0.736,male_first,BRIAN,BRIAN,BRIAN
RONALD,0.725,male_first,RONALD,RONALD,RONALD
ANTHONY,0.721,male_first,ANTHONY,ANTHONY,ANTHONY
KEVIN,0.671,male_first,KEVIN,KEVIN,KEVIN
JASON,0.66,male_first,JASON,JASON,JASON
MATTHEW,0.657,male_first,MATTHEW,MATTHEW,MATTHEW
GARY,0.65,male_first,GARY,GARY,GARY
TIMOTHY,0.64,male_first,TIMOTHY,TIMOTHY,TIMOTHY
JOSE,0.613,male_first,JOSE,JOSE,JOSE
LARRY,0.598,male_first,LARRY,LARRY,LARRY
JEFFREY,0.591,male_first,JEFFREY,JEFFREY,JEFFREY
FRANK,0.581,male_first,FRANK,FRANK,FRANK
SCOTT,0.546,male_first,SCOTT,SCOTT,SCOTT
ERIC,0.544,male_first,ERIC,ERIC,ERIC
STEPHEN,0.54,male_first,STEPHEN,STEPHEN,STEPHEN
ANDREW,0.537,male_first,ANDREW,ANDREW,ANDREW
RAYMOND,0.488,male_first,RAYMOND,RAYMOND,RAYMOND
GREGORY,0.441,male_first,GREGORY,GREGORY,GREGORY
JOSHUA,0.435,male_first,JOSHUA,JOSHUA,JOSHUA
JERRY,0.432,male_first,JERRY,JERRY,JERRY
DENNIS,0.415,male_first,DENNIS,DENNIS,DENNIS
WALTER,0.399,male_first,WALTER,WALTER,WALTER
PATRICK,0.389,male_first,PATRICK,PATRICK,PATRICK
PETER,0.381,male_first,PETER,PETER,PETER
HAROLD,0.371,male_first,HAROLD,HAROLD,HAROLD
DOUGLAS,0.367,male_first,DOUGLAS,DOUGLAS,DOUGLAS
HENRY,0.365,male_first,HENRY,HENRY,HENRY
CARL,0.346,male_first,CARL,CARL,CARL
ARTHUR,0.335,male_first,ARTHUR,ARTHUR,ARTHUR
RYAN,0.328,male_first,RYAN,RYAN,RYAN
ROGER,0.322,male_first,ROGER,ROGER,ROGER
JOE,0.321,male_first,JOE,JOE,JOE
JUAN,0.316,male_first,JUAN,JUAN,JUAN
JACK,0.315,male_first,JACK,JACK,JACK
ALBERT,0.314,male_first,ALBERT,ALBERT,ALBERT
